channel,eps_low_pct,eps_mid_pct,eps_high_pct,ks,jsd,r2
Mcdm,3.8623906934954744,2.146529995558679,0.4779548103405954,0.033617400000000006,0.0026156726638013306,0.8423809741211831
Mgas,4.211962841133715,5.2518413332914955,4.723393051407356,0.03643000000000001,0.002931459933338938,0.8819115643032586
T,2.675088284572623,1.9137861625835004,3.5709988904041152,0.04639600000000001,0.004536583013829598,0.8334528313431795
